Year,Quarter,Total
1968,Q4,2131
1969,Q1,2162
1969,Q2,2144
1969,Q3,2190
1969,Q4,2261
1970,Q1,2341
1970,Q2,2353
1970,Q3,2481
1970,Q4,2578
1971,Q1,2660
1971,Q2,2688
1971,Q3,2784
1971,Q4,2932
1972,Q1,3056
1972,Q2,3096
1972,Q3,3185
1972,Q4,3378
1973,Q1,3344
1973,Q2,3466
1973,Q3,3563
1973,Q4,3712
1974,Q1,3699
1974,Q2,3762
1974,Q3,3782
1974,Q4,3867
1975,Q1,3996
1975,Q2,3984
1975,Q3,4118
1975,Q4,4427
1976,Q1,4501
1976,Q2,4644
1976,Q3,4915
1976,Q4,5177
1977,Q1,5484
1977,Q2,5630
1977,Q3,5957
1977,Q4,6355
1978,Q1,6810
1978,Q2,6805
1978,Q3,7182
1978,Q4,7775
1979,Q1,7970
1979,Q2,7906
1979,Q3,8103
1979,Q4,8784
1980,Q1,9357
1980,Q2,9216
1980,Q3,10021
1980,Q4,10464
1981,Q1,10712
1981,Q2,10857
1981,Q3,11352
1981,Q4,12307
1982,Q1,12454
1982,Q2,12575
1982,Q3,13426
1982,Q4,13928
1983,Q1,15135
1983,Q2,14268
1983,Q3,15617
1983,Q4,15343
1984,Q1,15744
1984,Q2,15202
1984,Q3,14827
1984,Q4,15621
1985,Q1,17316
1985,Q2,17935
1985,Q3,19067
1985,Q4,19458
1986,Q1,21330
1986,Q2,20080
1986,Q3,21261
1986,Q4,22412
1987,Q1,23412
1987,Q2,24185
1987,Q3,25343
1987,Q4,28766
1988,Q1,32254
1988,Q2,30493
1988,Q3,31549
1988,Q4,34087
1989,Q1,35766
1989,Q2,36727
1989,Q3,36668
1989,Q4,39670
1990,Q1,39968
1990,Q2,38795
1990,Q3,40394
1990,Q4,43261
1991,Q1,46422
1991,Q2,44091
1991,Q3,46638
1991,Q4,49177
1992,Q1,51024
1992,Q2,52500
1992,Q3,56299
1992,Q4,61157
1993,Q1,62274
1993,Q2,65453
1993,Q3,69215
1993,Q4,71874
1994,Q1,77767
1994,Q2,72613
1994,Q3,74160
1994,Q4,78143
1995,Q1,79421
1995,Q2,78432
1995,Q3,78295
1995,Q4,81667
1996,Q1,84454
1996,Q2,82537
1996,Q3,84139
1996,Q4,87113
1997,Q1,94568
1997,Q2,96801
1997,Q3,92643
1997,Q4,92666
1998,Q1,91684
1998,Q2,90576
1998,Q3,92684
1998,Q4,92495
1999,Q1,98636
1999,Q2,95835
1999,Q3,98543
1999,Q4,124224
2000,Q1,103521
2000,Q2,102086
2000,Q3,102263
2000,Q4,105435
2001,Q1,104566
2001,Q2,106809
2001,Q3,112192
2001,Q4,113488
2002,Q1,121992
2002,Q2,119118
2002,Q3,120303
2002,Q4,124618
2003,Q1,128493
2003,Q2,130689
2003,Q3,133759
2003,Q4,140765
2004,Q1,143292
2004,Q2,146332
2004,Q3,150941
2004,Q4,153379
2005,Q1,158714
2005,Q2,154913
2005,Q3,154105
2005,Q4,156259
2006,Q1,157964
2006,Q2,158155
2006,Q3,161050
2006,Q4,164500
2007,Q1,164899
2007,Q2,163796
2007,Q3,167083
2007,Q4,171235
2008,Q1,176844
2008,Q2,175515
2008,Q3,188908
2008,Q4,185797
2009,Q1,191743
2009,Q2,195229
2009,Q3,202688
2009,Q4,208915
2010,Q1,221964
2010,Q2,221640
2010,Q3,228550
2010,Q4,235887
2011,Q1,243576
2011,Q2,249175
2011,Q3,255614
2011,Q4,269998
2012,Q1,278795
2012,Q2,279393
2012,Q3,297353
2012,Q4,301925
2013,Q1,327091
2013,Q2,322744
2013,Q3,329868
2013,Q4,340216
2014,Q1,339909
2014,Q2,346369
2014,Q3,355413
2014,Q4,353510
2015,Q1,362859
2015,Q2,360093
2015,Q3,363721
2015,Q4,371826
2016,Q1,382864
2016,Q2,386495
2016,Q3,396620
2016,Q4,420048
2017,Q1,426571
2017,Q2,438518
2017,Q3,455430
2017,Q4,468154
2018,Q1,500673
2018,Q2,491342
2018,Q3,488742
2018,Q4,496690
2019,Q1,510584
2019,Q2,512562
2019,Q3,517089
2019,Q4,529859
2020,Q1,540675
2020,Q2,549580
2020,Q3,584663
2020,Q4,572688
2021,Q1,582444
2021,Q2,592566
2021,Q3,592153
2021,Q4,606030
2022,Q1,621073
2022,Q2,626793
